metadata field,Child Doc Octiv ID,parent begdoc id,Parent Doc Octiv ID
parent_begdoc,2719384,CTRL00020504,2719383
parent_begdoc,2719385,CTRL00020504,2719383
parent_begdoc,2719386,CTRL00020504,2719383
parent_begdoc,2719387,CTRL00020504,2719383
parent_begdoc,2719388,CTRL00020504,2719383
parent_begdoc,2719389,CTRL00020504,2719383
parent_begdoc,2719390,CTRL00020504,2719383
parent_begdoc,2719391,CTRL00020504,2719383
parent_begdoc,2719392,CTRL00020504,2719383
parent_begdoc,2719373,CTRL00020460,2719374
parent_begdoc,2719375,CTRL00020460,2719374
parent_begdoc,2719376,CTRL00020460,2719374
parent_begdoc,2719377,CTRL00020460,2719374
parent_begdoc,2719378,CTRL00020460,2719374
parent_begdoc,2719379,CTRL00020460,2719374
parent_begdoc,2719380,CTRL00020460,2719374
parent_begdoc,2719381,CTRL00020460,2719374
parent_begdoc,2719367,CTRL00020453,2719366
parent_begdoc,2719369,CTRL00020453,2719366
parent_begdoc,2719370,CTRL00020453,2719366
parent_begdoc,2719371,CTRL00020453,2719366
parent_begdoc,2719372,CTRL00020453,2719366
parent_begdoc,2719364,CTRL00020113,2719363
parent_begdoc,2719365,CTRL00020113,2719363
parent_begdoc,2719358,CTRL00020334,2719362
parent_begdoc,2719359,CTRL00020334,2719362
parent_begdoc,2719360,CTRL00020334,2719362
parent_begdoc,2719354,CTRL00020297,2719356
parent_begdoc,2719355,CTRL00020297,2719356
parent_begdoc,2719357,CTRL00020297,2719356
parent_begdoc,2719352,CTRL00020050,2719353
parent_begdoc,2719349,CTRL00020164,2719348
parent_begdoc,2719350,CTRL00020164,2719348
parent_begdoc,2719351,CTRL00020164,2719348
parent_begdoc,2719345,CTRL00020369,2719344
parent_begdoc,2719346,CTRL00020369,2719344
parent_begdoc,2719347,CTRL00020369,2719344
parent_begdoc,2719340,CTRL00020016,2719342
parent_begdoc,2719341,CTRL00020016,2719342
parent_begdoc,2719343,CTRL00020016,2719342
parent_begdoc,2719339,CTRL00020018,2719338
parent_begdoc,2719332,CTRL00020316,2719331
parent_begdoc,2719333,CTRL00020316,2719331
parent_begdoc,2719334,CTRL00020316,2719331
parent_begdoc,2719335,CTRL00020316,2719331
parent_begdoc,2719336,CTRL00020316,2719331
parent_begdoc,2719337,CTRL00020316,2719331
parent_begdoc,2719316,CTRL00020396,2719320
parent_begdoc,2719317,CTRL00020396,2719320
parent_begdoc,2719318,CTRL00020396,2719320
parent_begdoc,2719319,CTRL00020396,2719320
parent_begdoc,2719321,CTRL00020396,2719320
parent_begdoc,2719322,CTRL00020396,2719320
parent_begdoc,2719323,CTRL00020396,2719320
parent_begdoc,2719324,CTRL00020396,2719320
parent_begdoc,2719325,CTRL00020396,2719320
parent_begdoc,2719326,CTRL00020396,2719320
parent_begdoc,2719327,CTRL00020396,2719320
parent_begdoc,2719328,CTRL00020396,2719320
parent_begdoc,2719329,CTRL00020396,2719320
parent_begdoc,2719330,CTRL00020396,2719320
parent_begdoc,2719312,CTRL00020270,2719311
parent_begdoc,2719313,CTRL00020270,2719311
parent_begdoc,2719314,CTRL00020270,2719311
parent_begdoc,2719315,CTRL00020270,2719311
parent_begdoc,2719307,CTRL00020029,2719306
parent_begdoc,2719308,CTRL00020029,2719306
parent_begdoc,2719309,CTRL00020029,2719306
parent_begdoc,2719310,CTRL00020029,2719306
parent_begdoc,2719301,CTRL00020373,2719300
parent_begdoc,2719302,CTRL00020373,2719300
parent_begdoc,2719304,CTRL00020373,2719300
parent_begdoc,2719305,CTRL00020373,2719300
parent_begdoc,2719293,CTRL00020300,2719294
parent_begdoc,2719295,CTRL00020300,2719294
parent_begdoc,2719296,CTRL00020300,2719294
parent_begdoc,2719297,CTRL00020300,2719294
parent_begdoc,2719298,CTRL00020300,2719294
parent_begdoc,2719299,CTRL00020300,2719294
parent_begdoc,2719289,CTRL00020169,2719288
parent_begdoc,2719290,CTRL00020169,2719288
parent_begdoc,2719291,CTRL00020169,2719288
parent_begdoc,2719292,CTRL00020169,2719288
parent_begdoc,2719284,CTRL00020059,2719283
parent_begdoc,2719285,CTRL00020059,2719283
parent_begdoc,2719286,CTRL00020059,2719283
parent_begdoc,2719287,CTRL00020059,2719283
parent_begdoc,2719275,CTRL00020282,2719276
parent_begdoc,2719277,CTRL00020282,2719276
parent_begdoc,2719278,CTRL00020282,2719276
parent_begdoc,2719279,CTRL00020282,2719276
parent_begdoc,2719281,CTRL00020282,2719276
parent_begdoc,2719282,CTRL00020282,2719276
parent_begdoc,2719263,CTRL00020065,2719262
parent_begdoc,2719264,CTRL00020065,2719262
parent_begdoc,2719265,CTRL00020065,2719262
parent_begdoc,2719266,CTRL00020065,2719262
parent_begdoc,2719267,CTRL00020065,2719262
parent_begdoc,2719268,CTRL00020065,2719262
parent_begdoc,2719269,CTRL00020065,2719262
parent_begdoc,2719270,CTRL00020065,2719262
parent_begdoc,2719271,CTRL00020065,2719262
parent_begdoc,2719272,CTRL00020065,2719262
parent_begdoc,2719273,CTRL00020065,2719262
parent_begdoc,2719274,CTRL00020065,2719262
parent_begdoc,2719259,CTRL00020057,2719260
parent_begdoc,2719261,CTRL00020057,2719260
parent_begdoc,2719254,CTRL00020423,2719256
parent_begdoc,2719255,CTRL00020423,2719256
parent_begdoc,2719257,CTRL00020423,2719256
parent_begdoc,2719258,CTRL00020423,2719256
parent_begdoc,2719247,CTRL00020267,2719248
parent_begdoc,2719249,CTRL00020267,2719248
parent_begdoc,2719250,CTRL00020267,2719248
parent_begdoc,2719251,CTRL00020267,2719248
parent_begdoc,2719252,CTRL00020267,2719248
parent_begdoc,2719253,CTRL00020267,2719248
parent_begdoc,2719240,CTRL00020191,2719239
parent_begdoc,2719241,CTRL00020191,2719239
parent_begdoc,2719242,CTRL00020191,2719239
parent_begdoc,2719243,CTRL00020191,2719239
parent_begdoc,2719244,CTRL00020191,2719239
parent_begdoc,2719245,CTRL00020191,2719239
parent_begdoc,2719246,CTRL00020191,2719239
parent_begdoc,2719228,CTRL00020099,2719229
parent_begdoc,2719230,CTRL00020099,2719229
parent_begdoc,2719231,CTRL00020099,2719229
parent_begdoc,2719232,CTRL00020099,2719229
parent_begdoc,2719233,CTRL00020099,2719229
parent_begdoc,2719234,CTRL00020099,2719229
parent_begdoc,2719235,CTRL00020099,2719229
parent_begdoc,2719236,CTRL00020099,2719229
parent_begdoc,2719237,CTRL00020099,2719229
parent_begdoc,2719238,CTRL00020099,2719229
parent_begdoc,2719217,CTRL00020047,2719220
parent_begdoc,2719218,CTRL00020047,2719220
parent_begdoc,2719219,CTRL00020047,2719220
parent_begdoc,2719221,CTRL00020047,2719220
parent_begdoc,2719222,CTRL00020047,2719220
parent_begdoc,2719224,CTRL00020047,2719220
parent_begdoc,2719225,CTRL00020047,2719220
parent_begdoc,2719226,CTRL00020047,2719220
parent_begdoc,2719227,CTRL00020047,2719220
parent_begdoc,2719206,CTRL00020435,2719205
parent_begdoc,2719207,CTRL00020435,2719205
parent_begdoc,2719208,CTRL00020435,2719205
parent_begdoc,2719209,CTRL00020435,2719205
parent_begdoc,2719211,CTRL00020435,2719205
parent_begdoc,2719212,CTRL00020435,2719205
parent_begdoc,2719213,CTRL00020435,2719205
parent_begdoc,2719214,CTRL00020435,2719205
parent_begdoc,2719215,CTRL00020435,2719205
parent_begdoc,2719216,CTRL00020435,2719205
parent_begdoc,2719201,CTRL00019647,2719203
parent_begdoc,2719202,CTRL00019647,2719203
parent_begdoc,2719204,CTRL00019647,2719203
parent_begdoc,2719198,CTRL00019628,2719199
